Car Make,Column,Count,Mean,Median,Mode,Std,-3σ,+3σ
Skoda,COE_num,30,37678.933333333334,39400.0,39400.0,6212.056380793797,19042.764190951944,56315.102475714724
Skoda,Depreciation_num,1,6950.0,6950.0,6950.0,,,
Skoda,Engine Cap_num,31,1616.4516129032259,1395.0,1395.0,331.83026170113715,620.9608277998144,2611.942398006637
Skoda,Mileage_num,16,1750409.6500000001,106207.45000000001,1500.0,3066223.9838153115,-7448262.301445933,10949081.601445934
Skoda,No. of Owners_num,31,1.1612903225806452,1.0,1.0,0.7347005827114602,-1.0428114255537355,3.3653920707150258
Skoda,OMV_num,31,22496.129032258064,20151.0,18870.0,3978.273492709582,10561.308554129319,34430.94951038681
Skoda,Power_num,31,134.5663838709678,110.0147,110.0147,34.48925937825762,31.09860573619494,238.03416200574065
Skoda,Price_num,17,101217.88235294117,97988.0,97988.0,14717.789651822523,57064.51339747361,145371.25130840874
Skoda,Road Tax_num,31,831.1935483870968,624.0,624.0,315.6879703499263,-115.87036266268206,1778.2574594368757
Subaru,ARF_num,50,14133.12,13490.5,15434.0,3617.608047495765,3280.295857512707,24985.944142487293
Subaru,COE_num,50,33109.6,26175.0,19637.0,16393.29183986361,-16070.275519590832,82289.47551959084
Subaru,Depreciation_num,14,7545.0,6790.0,5780.0,3645.3273568311442,-3390.982070493432,18480.982070493432
Subaru,Engine Cap_num,50,1655.44,1597.0,1597.0,175.9651124976952,1127.5446625069144,2183.3353374930857
Subaru,Mileage_num,19,9336573.231578948,10800016.7,4930013.4,7223473.232154444,-12333846.464884384,31006992.928042278
Subaru,No. of Owners_num,50,2.54,3.0,1.0,1.3733617327490932,-1.5800851982472794,6.6600851982472795
Subaru,OMV_num,50,14085.16,13422.0,15434.0,3288.6983304297505,4219.065008710748,23951.25499128925
Subaru,Power_num,50,84.699738,79.0105,70.093,16.545060861914195,35.06455541425741,134.33492058574257
Subaru,Price_num,22,35970.5,29650.0,66500.0,20688.189673729077,-26094.069021187228,98035.06902118723
Subaru,Road Tax_num,50,933.34,965.0,744.0,226.59652266006347,253.5504320198096,1613.1295679801906
